entidad,inegi,año,municipio,tipo,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
mexico,15009,2012,amecameca,extorsion,3.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0
mexico,15009,2012,amecameca,homicidio,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0
mexico,15009,2013,amecameca,extorsion,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
mexico,15009,2013,amecameca,homicidio,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
mexico,15009,2014,amecameca,extorsion,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
mexico,15009,2014,amecameca,homicidio,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
mexico,15010,2011,apaxco,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15010,2011,apaxco,homicidio,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
mexico,15010,2012,apaxco,extorsion,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15010,2012,apaxco,homicidio,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
mexico,15010,2013,apaxco,extorsion,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15010,2013,apaxco,homicidio,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
mexico,15010,2014,apaxco,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
mexico,15010,2014,apaxco,homicidio,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
mexico,15011,2011,atenco,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15011,2011,atenco,homicidio,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
mexico,15011,2012,atenco,extorsion,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
mexico,15011,2012,atenco,homicidio,0.0,1.0,4.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0
mexico,15011,2013,atenco,extorsion,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
mexico,15011,2013,atenco,homicidio,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mexico,15011,2014,atenco,extorsion,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
mexico,15011,2014,atenco,homicidio,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0
mexico,15012,2011,atizapan,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15012,2011,atizapan,homicidio,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mexico,15012,2012,atizapan,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15012,2012,atizapan,homicidio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mexico,15012,2013,atizapan,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15012,2013,atizapan,homicidio,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15012,2014,atizapan,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mexico,15012,2014,atizapan,homicidio,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15013,2011,atizapan de zaragoza,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15013,2011,atizapan de zaragoza,homicidio,0.0,2.0,2.0,3.0,0.0,1.0,4.0,2.0,0.0,6.0,1.0,1.0
mexico,15013,2012,atizapan de zaragoza,extorsion,2.0,8.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,0.0,4.0,3.0
mexico,15013,2012,atizapan de zaragoza,homicidio,8.0,3.0,0.0,1.0,3.0,5.0,2.0,2.0,0.0,5.0,6.0,5.0
mexico,15013,2013,atizapan de zaragoza,extorsion,4.0,9.0,10.0,12.0,3.0,8.0,13.0,8.0,4.0,5.0,2.0,7.0
mexico,15013,2013,atizapan de zaragoza,homicidio,3.0,7.0,4.0,3.0,5.0,4.0,3.0,6.0,3.0,5.0,7.0,3.0
mexico,15013,2014,atizapan de zaragoza,extorsion,6.0,1.0,7.0,2.0,1.0,3.0,5.0,5.0,6.0,6.0,4.0,1.0
mexico,15013,2014,atizapan de zaragoza,homicidio,5.0,1.0,5.0,2.0,10.0,5.0,4.0,7.0,3.0,5.0,3.0,5.0
mexico,15014,2011,atlacomulco,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
