entidad,inegi,año,municipio,month,crimes,xmonth,pop,educ,crime_pc
mexico,15104,2014,tlalnepantla de baz,octubre,20.0,46,672202,10.93,2.9752961163459792
mexico,15104,2015,tlalnepantla de baz,octubre,22.0,58,672202,10.93,3.2728257279805772
mexico,15104,2016,tlalnepantla de baz,octubre,18.0,70,672202,10.93,2.6777665047113812
mexico,15104,2017,tlalnepantla de baz,octubre,28.0,82,672202,10.93,4.165414562884371
mexico,15104,2018,tlalnepantla de baz,octubre,14.0,94,672202,10.93,2.0827072814421856
mexico,15104,2019,tlalnepantla de baz,octubre,16.0,106,672202,10.93,2.3802368930767837
mexico,15105,2011,tlatlaya,octubre,0.0,10,31762,7.54,0.0
mexico,15105,2012,tlatlaya,octubre,0.0,22,31762,7.54,0.0
mexico,15105,2013,tlatlaya,octubre,0.0,34,31762,7.54,0.0
mexico,15105,2014,tlatlaya,octubre,1.0,46,31762,7.54,3.1484163465776716
mexico,15105,2015,tlatlaya,octubre,0.0,58,31762,7.54,0.0
mexico,15105,2016,tlatlaya,octubre,0.0,70,31762,7.54,0.0
mexico,15105,2017,tlatlaya,octubre,0.0,82,31762,7.54,0.0
mexico,15105,2018,tlatlaya,octubre,0.0,94,31762,7.54,0.0
mexico,15105,2019,tlatlaya,octubre,0.0,106,31762,7.54,0.0
mexico,15106,2011,toluca,octubre,4.0,10,910608,10.92,0.4392669513116511
mexico,15106,2012,toluca,octubre,12.0,22,910608,10.92,1.3178008539349533
mexico,15106,2013,toluca,octubre,19.0,34,910608,10.92,2.0865180187303425
mexico,15106,2014,toluca,octubre,7.0,46,910608,10.92,0.7687171647953894
mexico,15106,2015,toluca,octubre,20.0,58,910608,10.92,2.196334756558256
mexico,15106,2016,toluca,octubre,25.0,70,910608,10.92,2.7454184456978195
mexico,15106,2017,toluca,octubre,16.0,82,910608,10.92,1.7570678052466044
mexico,15106,2018,toluca,octubre,24.0,94,910608,10.92,2.6356017078699066
mexico,15106,2019,toluca,octubre,35.0,106,910608,10.92,3.8435858239769476
mexico,15107,2011,tonatico,octubre,0.0,10,12912,8.72,0.0
mexico,15107,2012,tonatico,octubre,0.0,22,12912,8.72,0.0
